,id,label,pred,error
24,sign0037.png,crosswalk,trafficlight,3
90,sign0053.png,crosswalk,trafficlight,3
71,sign0186.png,crosswalk,stop,3
9,sign0285.png,crosswalk,trafficlight,3
0,sign0705.png,crosswalk,speedlimit,1
73,sign0748.png,crosswalk,trafficlight,2
21,sign0813.png,crosswalk,trafficlight,3
14,sign0839.png,crosswalk,trafficlight,3
53,sign0865.png,crosswalk,speedlimit,3
58,sign0905.png,crosswalk,stop,3
37,sign0948.png,crosswalk,trafficlight,1
27,sign1050.png,crosswalk,trafficlight,3
88,sign1216.png,crosswalk,stop,2
35,sign1256.png,crosswalk,trafficlight,3
52,sign1300.png,crosswalk,trafficlight,1
87,sign1310.png,crosswalk,stop,3
8,sign1383.png,crosswalk,stop,1
94,sign1394.png,crosswalk,trafficlight,1
11,sign1467.png,crosswalk,trafficlight,1
23,sign1548.png,crosswalk,trafficlight,3
93,sign1666.png,crosswalk,trafficlight,3
10,sign1752.png,crosswalk,trafficlight,3
7,sign1762.png,crosswalk,stop,2
84,sign1765.png,crosswalk,stop,3
91,sign1774.png,crosswalk,stop,3
32,sign1810.png,crosswalk,trafficlight,3
49,sign1897.png,crosswalk,trafficlight,2
96,sign1929.png,crosswalk,trafficlight,3
39,sign1953.png,crosswalk,stop,1
89,sign2377.png,speedlimit,crosswalk,1
6,sign2389.png,speedlimit,stop,1
98,sign2619.png,speedlimit,crosswalk,3
31,sign2676.png,speedlimit,crosswalk,1
72,sign2724.png,speedlimit,trafficlight,3
41,sign2749.png,speedlimit,crosswalk,3
19,sign2752.png,speedlimit,stop,1
67,sign2946.png,speedlimit,trafficlight,1
47,sign2994.png,speedlimit,stop,1
80,sign3266.png,speedlimit,crosswalk,3
54,sign3271.png,speedlimit,crosswalk,1
92,sign3310.png,speedlimit,trafficlight,1
66,sign3330.png,speedlimit,crosswalk,3
25,sign3510.png,speedlimit,crosswalk,3
59,sign3524.png,speedlimit,crosswalk,1
55,sign4048.png,speedlimit,stop,1
44,sign4323.png,speedlimit,trafficlight,1
95,sign4362.png,speedlimit,crosswalk,3
17,sign4518.png,stop,trafficlight,1
50,sign4654.png,stop,crosswalk,1
97,sign4682.png,stop,speedlimit,3
43,sign4686.png,stop,crosswalk,1
62,sign4754.png,stop,crosswalk,1
75,sign4789.png,stop,crosswalk,2
36,sign5280.png,stop,speedlimit,3
85,sign5342.png,stop,trafficlight,2
38,sign5374.png,stop,trafficlight,3
1,sign5503.png,stop,crosswalk,3
68,sign5526.png,stop,crosswalk,3
40,sign5598.png,stop,crosswalk,2
29,sign5636.png,stop,trafficlight,3
79,sign5880.png,stop,trafficlight,2
4,sign6081.png,stop,crosswalk,3
57,sign6172.png,stop,crosswalk,3
45,sign6252.png,stop,speedlimit,1
83,sign6501.png,stop,trafficlight,3
51,sign6511.png,stop,crosswalk,3
20,sign6662.png,stop,trafficlight,2
65,sign6727.png,stop,trafficlight,3
56,sign6735.png,stop,crosswalk,3
33,sign6812.png,trafficlight,crosswalk,2
13,sign6977.png,trafficlight,crosswalk,2
64,sign7129.png,trafficlight,stop,1
63,sign7133.png,trafficlight,stop,1
30,sign7163.png,trafficlight,crosswalk,3
22,sign7172.png,trafficlight,stop,2
61,sign7250.png,trafficlight,stop,3
3,sign7378.png,trafficlight,crosswalk,1
77,sign7430.png,trafficlight,crosswalk,3
99,sign7511.png,trafficlight,crosswalk,2
76,sign7529.png,trafficlight,speedlimit,3
16,sign7650.png,trafficlight,crosswalk,1
69,sign7683.png,trafficlight,crosswalk,3
86,sign7717.png,trafficlight,crosswalk,1
78,sign7791.png,trafficlight,stop,2
2,sign7812.png,trafficlight,crosswalk,3
46,sign7900.png,trafficlight,crosswalk,1
12,sign7969.png,trafficlight,crosswalk,1
34,sign8054.png,trafficlight,crosswalk,1
48,sign8086.png,trafficlight,crosswalk,3
82,sign8140.png,trafficlight,crosswalk,1
18,sign8170.png,trafficlight,crosswalk,2
74,sign8212.png,trafficlight,crosswalk,1
70,sign8423.png,trafficlight,crosswalk,3
28,sign8527.png,trafficlight,crosswalk,1
60,sign8751.png,trafficlight,crosswalk,1
26,sign8999.png,trafficlight,speedlimit,3
5,sign9020.png,trafficlight,crosswalk,3
42,sign9023.png,trafficlight,stop,2
81,sign9230.png,trafficlight,crosswalk,1
15,sign9375.png,trafficlight,stop,1
