,id,label,pred,error
76,sign0006.png,crosswalk,stop,3
65,sign0096.png,crosswalk,trafficlight,1
67,sign0252.png,crosswalk,speedlimit,1
96,sign0351.png,crosswalk,trafficlight,3
59,sign0355.png,crosswalk,stop,2
32,sign0366.png,crosswalk,stop,2
84,sign0380.png,crosswalk,speedlimit,1
89,sign0487.png,crosswalk,trafficlight,2
47,sign0494.png,crosswalk,trafficlight,2
54,sign0538.png,crosswalk,trafficlight,3
90,sign0586.png,crosswalk,trafficlight,1
14,sign0658.png,crosswalk,stop,3
18,sign0725.png,crosswalk,stop,1
3,sign0768.png,crosswalk,trafficlight,1
5,sign0888.png,crosswalk,trafficlight,1
24,sign1149.png,crosswalk,stop,3
88,sign1152.png,crosswalk,stop,3
4,sign1180.png,crosswalk,trafficlight,3
16,sign1188.png,crosswalk,trafficlight,1
99,sign1200.png,crosswalk,trafficlight,2
29,sign1225.png,crosswalk,trafficlight,3
10,sign1294.png,crosswalk,trafficlight,2
98,sign1368.png,crosswalk,speedlimit,1
81,sign1452.png,crosswalk,speedlimit,3
8,sign1597.png,crosswalk,stop,1
45,sign1609.png,crosswalk,trafficlight,3
72,sign1666.png,crosswalk,stop,3
13,sign1698.png,crosswalk,trafficlight,2
74,sign1738.png,crosswalk,trafficlight,1
43,sign1765.png,crosswalk,stop,3
73,sign1767.png,crosswalk,stop,3
83,sign1844.png,crosswalk,trafficlight,3
77,sign1905.png,crosswalk,stop,2
91,sign1971.png,crosswalk,trafficlight,3
46,sign2103.png,crosswalk,trafficlight,3
19,sign2129.png,crosswalk,trafficlight,3
39,sign2220.png,crosswalk,stop,3
36,sign2248.png,crosswalk,stop,3
85,sign2311.png,crosswalk,trafficlight,3
6,sign2369.png,speedlimit,stop,1
71,sign2473.png,speedlimit,crosswalk,1
15,sign2498.png,speedlimit,stop,3
20,sign2724.png,speedlimit,stop,3
82,sign2730.png,speedlimit,stop,1
34,sign2754.png,speedlimit,trafficlight,3
92,sign3232.png,speedlimit,trafficlight,2
55,sign3248.png,speedlimit,trafficlight,3
58,sign3330.png,speedlimit,trafficlight,3
87,sign3500.png,speedlimit,stop,1
79,sign3506.png,speedlimit,stop,3
61,sign3539.png,speedlimit,stop,1
38,sign3813.png,speedlimit,crosswalk,3
62,sign3885.png,speedlimit,crosswalk,1
56,sign4029.png,speedlimit,trafficlight,1
33,sign4050.png,speedlimit,stop,2
30,sign4143.png,speedlimit,stop,3
52,sign4163.png,speedlimit,stop,3
9,sign4290.png,speedlimit,crosswalk,3
63,sign4362.png,speedlimit,trafficlight,3
0,sign4508.png,stop,crosswalk,1
37,sign4614.png,stop,trafficlight,1
35,sign4664.png,stop,crosswalk,1
60,sign4718.png,stop,crosswalk,3
97,sign4891.png,stop,trafficlight,3
57,sign5223.png,stop,crosswalk,3
31,sign5280.png,stop,trafficlight,3
80,sign5411.png,stop,speedlimit,2
44,sign5446.png,stop,crosswalk,2
7,sign5456.png,stop,crosswalk,3
2,sign5503.png,stop,crosswalk,3
28,sign5554.png,stop,crosswalk,3
78,sign5581.png,stop,trafficlight,3
26,sign5643.png,stop,trafficlight,3
21,sign5657.png,stop,speedlimit,3
23,sign5666.png,stop,speedlimit,3
25,sign5669.png,stop,crosswalk,1
41,sign5880.png,stop,trafficlight,2
11,sign6081.png,stop,crosswalk,3
27,sign6176.png,stop,crosswalk,3
51,sign6221.png,stop,trafficlight,2
86,sign6252.png,stop,crosswalk,1
17,sign6292.png,stop,trafficlight,3
95,sign6322.png,stop,crosswalk,1
64,sign6434.png,stop,trafficlight,2
94,sign6501.png,stop,trafficlight,3
40,sign6601.png,stop,trafficlight,3
42,sign6936.png,trafficlight,stop,2
48,sign6976.png,trafficlight,stop,1
22,sign7081.png,trafficlight,crosswalk,2
53,sign7163.png,trafficlight,speedlimit,3
1,sign7171.png,trafficlight,speedlimit,3
12,sign7302.png,trafficlight,stop,1
66,sign7430.png,trafficlight,speedlimit,1
49,sign7895.png,trafficlight,crosswalk,3
75,sign8165.png,trafficlight,crosswalk,3
50,sign8391.png,trafficlight,crosswalk,3
93,sign8431.png,trafficlight,speedlimit,3
69,sign8934.png,trafficlight,speedlimit,3
68,sign9021.png,trafficlight,crosswalk,1
70,sign9068.png,trafficlight,crosswalk,3
